ID	GENE_NAME	SUPERCLASS
ID	A rdfs:label	SC %
http://identifiers.org/ncbigene/1	A1BG	SO:0000704
http://identifiers.org/ncbigene/100	ADA	SO:0000704
http://identifiers.org/ncbigene/1000	CDH2	SO:0000704
http://identifiers.org/ncbigene/10000	AKT3	SO:0000704
http://identifiers.org/ncbigene/100009676	ZBTB11-AS1	SO:0000704
http://identifiers.org/ncbigene/10001	MED6	SO:0000704
http://identifiers.org/ncbigene/10002	NR2E3	SO:0000704
http://identifiers.org/ncbigene/10003	NAALAD2	SO:0000704
http://identifiers.org/ncbigene/100037417	DDT	SO:0000704
http://identifiers.org/ncbigene/10004	NAALADL1	SO:0000704
http://identifiers.org/ncbigene/100048912	CDKN2B-AS1	SO:0000704
http://identifiers.org/ncbigene/100049587	SIGLEC14	SO:0000704
http://identifiers.org/ncbigene/10006	ABI1	SO:0000704
http://identifiers.org/ncbigene/10007	GNPDA1	SO:0000704
http://identifiers.org/ncbigene/10007	GPI	SO:0000704
http://identifiers.org/ncbigene/10008	KCNE3	SO:0000704
http://identifiers.org/ncbigene/10009	ZBTB33	SO:0000704
http://identifiers.org/ncbigene/100093630	SNHG8	SO:0000704
http://identifiers.org/ncbigene/100093631	GTF2I	SO:0000704
http://identifiers.org/ncbigene/10010	TANK	SO:0000704
http://identifiers.org/ncbigene/10010	TRAF2	SO:0000704
http://identifiers.org/ncbigene/100101267	POM121C	SO:0000704
http://identifiers.org/ncbigene/100101938	ANKRD26P3	SO:0000704
http://identifiers.org/ncbigene/100113386	UCKL1-AS1	SO:0000704
http://identifiers.org/ncbigene/100113407	TMEM170B	SO:0000704
http://identifiers.org/ncbigene/100125288	ZGLP1	SO:0000704
http://identifiers.org/ncbigene/100128126	STAU2-AS1	SO:0000704
http://identifiers.org/ncbigene/100128252	ZNF667-AS1	SO:0000704
http://identifiers.org/ncbigene/100128292	DLG5-AS1	SO:0000704
http://identifiers.org/ncbigene/100128496	SCP2D1-AS1	SO:0000704
http://identifiers.org/ncbigene/100128537	MIR29B2CHG	SO:0000704
http://identifiers.org/ncbigene/100128731	OST4	SO:0000704
http://identifiers.org/ncbigene/100128788	SRRM2-AS1	SO:0000704
http://identifiers.org/ncbigene/100128893	GATA6-AS1	SO:0000704
http://identifiers.org/ncbigene/100129195	ZSCAN16-AS1	SO:0000704
http://identifiers.org/ncbigene/100129250	SMIM27	SO:0000704
http://identifiers.org/ncbigene/100129269	LINC01160	SO:0000704
http://identifiers.org/ncbigene/100129361	SMIM10L1	SO:0000704
http://identifiers.org/ncbigene/100129387	GABPB1-AS1	SO:0000704
http://identifiers.org/ncbigene/100129460	DPY19L1P1	SO:0000704
http://identifiers.org/ncbigene/100129480	MKRN2OS	SO:0000704
http://identifiers.org/ncbigene/100129518	SOD2	SO:0000704
http://identifiers.org/ncbigene/100129716	ARRDC3-AS1	SO:0000704
http://identifiers.org/ncbigene/100129792	CCDC152	SO:0000704
http://identifiers.org/ncbigene/100129827	IRAG1-AS1	SO:0000704
http://identifiers.org/ncbigene/100129842	ZNF737	SO:0000704
http://identifiers.org/ncbigene/10013	HDAC6	SO:0000704
http://identifiers.org/ncbigene/100130231	LINC00861	SO:0000704
http://identifiers.org/ncbigene/100130557	NFYC-AS1	SO:0000704
http://identifiers.org/ncbigene/100130717	HDHD5-AS1	SO:0000704
http://identifiers.org/ncbigene/100130771	EFCAB10	SO:0000704
http://identifiers.org/ncbigene/100130855	USP3-AS1	SO:0000704
http://identifiers.org/ncbigene/100130890	TSTD3	SO:0000704
http://identifiers.org/ncbigene/100130933	ELN	SO:0000704
http://identifiers.org/ncbigene/100131017	ZNF316	SO:0000704
http://identifiers.org/ncbigene/100131067	CKMT2-AS1	SO:0000704
http://identifiers.org/ncbigene/100131089	SRP14-DT	SO:0000704
http://identifiers.org/ncbigene/100131176	WDR86-AS1	SO:0000704
http://identifiers.org/ncbigene/100131187	TSTD1	SO:0000704
http://identifiers.org/ncbigene/100131211	NEMP2	SO:0000704
http://identifiers.org/ncbigene/100131234	MIR181A1HG	SO:0000704
http://identifiers.org/ncbigene/100131390	SP9	SO:0000704
http://identifiers.org/ncbigene/100131733	USP30-AS1	SO:0000704
http://identifiers.org/ncbigene/100131801	PET100	SO:0000704
http://identifiers.org/ncbigene/100131863	RPS18	SO:0000704
http://identifiers.org/ncbigene/100132163	PHKA2-AS1	SO:0000704
http://identifiers.org/ncbigene/100132285	KIR2DL1	SO:0000704
http://identifiers.org/ncbigene/100132288	TEKT4P2	SO:0000704
http://identifiers.org/ncbigene/100132406	NBPF10	SO:0000704
http://identifiers.org/ncbigene/100132417	FCGR1CP	SO:0000704
http://identifiers.org/ncbigene/100132526	FGD5P1	SO:0000704
http://identifiers.org/ncbigene/100132677	BSN-DT	SO:0000704
http://identifiers.org/ncbigene/100132707	PAXIP1-AS2	SO:0000704
http://identifiers.org/ncbigene/100132774	KDM4A-AS1	SO:0000704
http://identifiers.org/ncbigene/100132815	IPO5P1	SO:0000704
http://identifiers.org/ncbigene/100132916	SHISAL2B	SO:0000704
http://identifiers.org/ncbigene/100132948	FAM27C	SO:0000704
http://identifiers.org/ncbigene/100133311	HOXA-AS3	SO:0000704
http://identifiers.org/ncbigene/100133941	CD24	SO:0000704
http://identifiers.org/ncbigene/100134938	UPK3BL1	SO:0000704
http://identifiers.org/ncbigene/100137047	JMJD7	SO:0000704
http://identifiers.org/ncbigene/10014	HDAC5	SO:0000704
http://identifiers.org/ncbigene/10015	PDCD6IP	SO:0000704
http://identifiers.org/ncbigene/10016	ALG2	SO:0000704
http://identifiers.org/ncbigene/10016	PDCD6	SO:0000704
http://identifiers.org/ncbigene/100169989	DBIL5P2	SO:0000704
http://identifiers.org/ncbigene/10017	BCL2L10	SO:0000704
http://identifiers.org/ncbigene/100170229	ZNF576	SO:0000704
http://identifiers.org/ncbigene/10018	BCL2L11	SO:0000704
http://identifiers.org/ncbigene/100188949	LINC00426	SO:0000704
http://identifiers.org/ncbigene/100188954	DNMBP-AS1	SO:0000704
http://identifiers.org/ncbigene/10019	SH2B3	SO:0000704
http://identifiers.org/ncbigene/100190938	RAMP2-AS1	SO:0000704
http://identifiers.org/ncbigene/100190939	TPT1-AS1	SO:0000704
http://identifiers.org/ncbigene/10020	GNE	SO:0000704
http://identifiers.org/ncbigene/10021	HCN4	SO:0000704
http://identifiers.org/ncbigene/100233209	PCED1B-AS1	SO:0000704
http://identifiers.org/ncbigene/10024	TROAP	SO:0000704
http://identifiers.org/ncbigene/100240707	GAPDHP42	SO:0000704
http://identifiers.org/ncbigene/100240709	GAPDH	SO:0000704
http://identifiers.org/ncbigene/10025	MED16	SO:0000704
http://identifiers.org/ncbigene/10026	PIGK	SO:0000704
http://identifiers.org/ncbigene/100271715	ARHGEF33	SO:0000704
http://identifiers.org/ncbigene/100271927	RASA4B	SO:0000704
http://identifiers.org/ncbigene/100272147	CMC4	SO:0000704
http://identifiers.org/ncbigene/100287226	ZNF729	SO:0000704
http://identifiers.org/ncbigene/100287227	TIPARP-AS1	SO:0000704
http://identifiers.org/ncbigene/100287482	SMKR1	SO:0000704
http://identifiers.org/ncbigene/100287596	DDX11L5	SO:0000704
http://identifiers.org/ncbigene/100287718	ANKRD66	SO:0000704
http://identifiers.org/ncbigene/100287722	AP4B1-AS1	SO:0000704
http://identifiers.org/ncbigene/100287932	TIMM23	SO:0000704
http://identifiers.org/ncbigene/100288332	NPIPA5	SO:0000704
http://identifiers.org/ncbigene/100288432	IL10RB-DT	SO:0000704
http://identifiers.org/ncbigene/100289137	FAM95C	SO:0000704
http://identifiers.org/ncbigene/100289187	TMEM225B	SO:0000704
http://identifiers.org/ncbigene/100289274	DNAJC3-DT	SO:0000704
http://identifiers.org/ncbigene/100289341	MAN1B1-DT	SO:0000704
http://identifiers.org/ncbigene/100289635	ZNF605	SO:0000704
http://identifiers.org/ncbigene/100293516	ZNF587B	SO:0000704
http://identifiers.org/ncbigene/1003	CDH5	SO:0000704
http://identifiers.org/ncbigene/100303491	ZEB2-AS1	SO:0000704
http://identifiers.org/ncbigene/100303755	PET117	SO:0000704
http://identifiers.org/ncbigene/100316904	SAP25	SO:0000704
http://identifiers.org/ncbigene/100329135	TRPC5OS	SO:0000704
http://identifiers.org/ncbigene/10036	CHAF1A	SO:0000704
http://identifiers.org/ncbigene/1004	CDH6	SO:0000704
http://identifiers.org/ncbigene/10042	HMGXB4	SO:0000704
http://identifiers.org/ncbigene/100422261	NPM1P37	SO:0000704
http://identifiers.org/ncbigene/100423062	IGLL5	SO:0000704
http://identifiers.org/ncbigene/10043	TOM1	SO:0000704
http://identifiers.org/ncbigene/10044	CHAT	SO:0000704
http://identifiers.org/ncbigene/10044	SH2D3C	SO:0000704
http://identifiers.org/ncbigene/10045	SH2D3A	SO:0000704
http://identifiers.org/ncbigene/100462977	MTRNR2L1	SO:0000704
http://identifiers.org/ncbigene/100462981	MTRNR2L2	SO:0000704
http://identifiers.org/ncbigene/100463482	MTRNR2L6	SO:0000704
http://identifiers.org/ncbigene/100463486	MTRNR2L8	SO:0000704
http://identifiers.org/ncbigene/100463487	MTRNR2L9	SO:0000704
http://identifiers.org/ncbigene/100463498	MTRNR2L12	SO:0000704
http://identifiers.org/ncbigene/10049	DNAJB6	SO:0000704
http://identifiers.org/ncbigene/100499177	THAP9-AS1	SO:0000704
http://identifiers.org/ncbigene/100505483	PRKAG2-AS1	SO:0000704
http://identifiers.org/ncbigene/100505538	RBM26-AS1	SO:0000704
http://identifiers.org/ncbigene/100505573	INAFM2	SO:0000704
http://identifiers.org/ncbigene/100505576	LINC00672	SO:0000704
http://identifiers.org/ncbigene/100505583	LINC00838	SO:0000704
http://identifiers.org/ncbigene/100505616	SNHG21	SO:0000704
http://identifiers.org/ncbigene/100505621	NDUFV1-DT	SO:0000704
http://identifiers.org/ncbigene/100505648	RAD51-AS1	SO:0000704
http://identifiers.org/ncbigene/100505679	UBE2Q2L	SO:0000704
http://identifiers.org/ncbigene/100505696	SH3BP5-AS1	SO:0000704
http://identifiers.org/ncbigene/100505702	LINC01094	SO:0000704
http://identifiers.org/ncbigene/100505746	ITGB2-AS1	SO:0000704
http://identifiers.org/ncbigene/100505761	C10orf95-AS1	SO:0000704
http://identifiers.org/ncbigene/100505783	OSER1-DT	SO:0000704
http://identifiers.org/ncbigene/100505826	STK4-DT	SO:0000704
http://identifiers.org/ncbigene/100505876	CEBPZOS	SO:0000704
