ID	GENE_NAME	SUPERCLASS
ID	A rdfs:label	SC %
http://identifiers.org/ncbigene/100	ADA	SO:0000704
http://identifiers.org/ncbigene/10000	AKT3	SO:0000704
http://identifiers.org/ncbigene/100019	Mdn1	SO:0000704
http://identifiers.org/ncbigene/100034251	Wfdc17	SO:0000704
http://identifiers.org/ncbigene/100034684	Cstdc5	SO:0000704
http://identifiers.org/ncbigene/100037258	Dnajc3	SO:0000704
http://identifiers.org/ncbigene/100038672	Gm10530	SO:0000704
http://identifiers.org/ncbigene/100039542	Tbx3os1	SO:0000704
http://identifiers.org/ncbigene/100039782	Gm10709	SO:0000704
http://identifiers.org/ncbigene/100040266	Gm2682	SO:0000704
http://identifiers.org/ncbigene/100040462	Mndal	SO:0000704
http://identifiers.org/ncbigene/100041546	Ly6c2	SO:0000704
http://identifiers.org/ncbigene/100042173	Rps15a-ps6	SO:0000704
http://identifiers.org/ncbigene/100042277	Gm3764	SO:0000704
http://identifiers.org/ncbigene/100042555	Gm13305	SO:0000704
http://identifiers.org/ncbigene/100043143	Gm4258	SO:0000704
http://identifiers.org/ncbigene/100043314	Tigit	SO:0000704
http://identifiers.org/ncbigene/100043424	Morrbid	SO:0000704
http://identifiers.org/ncbigene/100043820	9030622O22Rik	SO:0000704
http://identifiers.org/ncbigene/100043902	Six3os1	SO:0000704
http://identifiers.org/ncbigene/100048534	Cfap43	SO:0000704
http://identifiers.org/ncbigene/100125263	Trbc2	SO:0000704
http://identifiers.org/ncbigene/100126819	Gm10076	SO:0000704
http://identifiers.org/ncbigene/100128191	TMPO-AS1	SO:0000704
http://identifiers.org/ncbigene/100130155	MIR124-2HG	SO:0000704
http://identifiers.org/ncbigene/100130231	LINC00861	SO:0000704
http://identifiers.org/ncbigene/100131208	SNAP25-AS1	SO:0000704
http://identifiers.org/ncbigene/100133161	LINC01001	SO:0000704
http://identifiers.org/ncbigene/100133941	CD24	SO:0000704
http://identifiers.org/ncbigene/100170401	EU599041	SO:0000704
http://identifiers.org/ncbigene/100187828	HBD	SO:0000704
http://identifiers.org/ncbigene/1002	CDH4	SO:0000704
http://identifiers.org/ncbigene/10022	INSL5	SO:0000704
http://identifiers.org/ncbigene/100233209	PCED1B-AS1	SO:0000704
http://identifiers.org/ncbigene/100271849	MEF2B	SO:0000704
http://identifiers.org/ncbigene/100287591	MTND1P22	SO:0000704
http://identifiers.org/ncbigene/100289404	MTCO2P22	SO:0000704
http://identifiers.org/ncbigene/1003	CDH5	SO:0000704
http://identifiers.org/ncbigene/100302692	FTX	SO:0000704
http://identifiers.org/ncbigene/100309464	OTX2-AS1	SO:0000704
http://identifiers.org/ncbigene/100379345	MIR181A2HG	SO:0000704
http://identifiers.org/ncbigene/100423062	IGLL5	SO:0000704
http://identifiers.org/ncbigene/100463512	Gm20594	SO:0000704
http://identifiers.org/ncbigene/100503085	Klhl3	SO:0000704
http://identifiers.org/ncbigene/100503605	Hbb-bs	SO:0000704
http://identifiers.org/ncbigene/100503895	Tpsab1	SO:0000704
http://identifiers.org/ncbigene/100504061	8030451A03Rik	SO:0000704
http://identifiers.org/ncbigene/100504344	Gm20186	SO:0000704
http://identifiers.org/ncbigene/100504539	Gm20275	SO:0000704
http://identifiers.org/ncbigene/100504594	A630012P03Rik	SO:0000704
http://identifiers.org/ncbigene/100505385	IQCJ-SCHIP1	SO:0000704
http://identifiers.org/ncbigene/100505495	PCAT19	SO:0000704
http://identifiers.org/ncbigene/100505776	LINC01541	SO:0000704
http://identifiers.org/ncbigene/100505875	LINC01088	SO:0000704
http://identifiers.org/ncbigene/100506115	PELATON	SO:0000704
http://identifiers.org/ncbigene/100506542	LINC01082	SO:0000704
http://identifiers.org/ncbigene/100506844	GIHCG	SO:0000704
http://identifiers.org/ncbigene/100506866	TTN-AS1	SO:0000704
http://identifiers.org/ncbigene/100507098	ADAMTS9-AS2	SO:0000704
http://identifiers.org/ncbigene/100507217	CHASERR	SO:0000704
http://identifiers.org/ncbigene/100507267	LINC01187	SO:0000704
http://identifiers.org/ncbigene/10051	SMC4	SO:0000704
http://identifiers.org/ncbigene/100526836	BLOC1S5-TXNDC5	SO:0000704
http://identifiers.org/ncbigene/100529209	C17orf49	SO:0000704
http://identifiers.org/ncbigene/10057	ABCC5	SO:0000704
http://identifiers.org/ncbigene/10060	ABCC9	SO:0000704
http://identifiers.org/ncbigene/100647	Upk3b	SO:0000704
http://identifiers.org/ncbigene/1007	CDH9	SO:0000704
http://identifiers.org/ncbigene/1008	CDH10	SO:0000704
http://identifiers.org/ncbigene/10082	GPC6	SO:0000704
http://identifiers.org/ncbigene/10085	EDIL3	SO:0000704
http://identifiers.org/ncbigene/100856811	NRG1-IT1	SO:0000704
http://identifiers.org/ncbigene/100873065	PTCHD1-AS	SO:0000704
http://identifiers.org/ncbigene/100873182	MTND3P6	SO:0000704
http://identifiers.org/ncbigene/100873345	MTND2P13	SO:0000704
http://identifiers.org/ncbigene/100873353	MTND5P17	SO:0000704
