cl_class	cl_label	Cell_type	Marker_set	Minimal_markers	Minimal_markers_label	Organ	Species	Species_abbv	Organ_region	Parent	FBeta_confidence_score	Marker_set_xref	cxg_dataset_title	CL_agreed
		Astro_1	CLM:1001062	ensembl:ENSG00000079215|ensembl:ENSG00000172987	SLC1A3|HPSE2	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.6796875	https://doi.org/10.5281/zenodo.11165918		False
		Astro_2	CLM:1001063	ensembl:ENSG00000249306|ensembl:ENSG00000234377	LINC01411|OBI1-AS1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5566801619433198	https://doi.org/10.5281/zenodo.11165918		False
		Astro_3	CLM:1001064	ensembl:ENSG00000221932|ensembl:ENSG00000117525|ensembl:ENSG00000135744|ensembl:ENSG00000152661|ensembl:ENSG00000171885	HEPN1|F3|AGT|GJA1|AQP4	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5711722488038278	https://doi.org/10.5281/zenodo.11165918		False
		Astro_4	CLM:1001065	ensembl:ENSG00000119938|ensembl:ENSG00000164089|ensembl:ENSG00000172201|ensembl:ENSG00000234377	PPP1R3C|ETNPPL|ID4|OBI1-AS1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.47279792746113986	https://doi.org/10.5281/zenodo.11165918		False
		Astro_5	CLM:1001066	ensembl:ENSG00000041982|ensembl:ENSG00000026508	TNC|CD44	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.7512626262626262	https://doi.org/10.5281/zenodo.11165918		False
		Chandelier_1	CLM:1001067	ensembl:ENSG00000178538|ensembl:ENSG00000174948	CA8|GPR149	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.7997481108312343	https://doi.org/10.5281/zenodo.11165918		False
		Endo_1	CLM:1001068	ensembl:ENSG00000158270|ensembl:ENSG00000110799|ensembl:ENSG00000102755|ensembl:ENSG00000118777	COLEC12|VWF|FLT1|ABCG2	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.831353919239905	https://doi.org/10.5281/zenodo.11165918		False
		Endo_2	CLM:1001069	ensembl:ENSG00000180229|ensembl:ENSG00000027075	HERC2P3|PRKCH	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.8270877944325483	https://doi.org/10.5281/zenodo.11165918		False
		L2/3 IT_1	CLM:1001070	ensembl:ENSG00000164099|ensembl:ENSG00000047936|ensembl:ENSG00000204262|ensembl:ENSG00000169507	PRSS12|ROS1|COL5A2|SLC38A11	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5517711171662125	https://doi.org/10.5281/zenodo.11165918		False
		L2/3 IT_2	CLM:1001071	ensembl:ENSG00000187720|ensembl:ENSG00000135426|ensembl:ENSG00000138741	THSD4|TESPA1|TRPC3	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.6621140142517815	https://doi.org/10.5281/zenodo.11165918		False
