cl_class	cl_label	Cell_type	Marker_set	Minimal_markers	Minimal_markers_label	Species	Species_abbv	Organ_region	Parent	FBeta_confidence_score	Marker_set_xref	cxg_dataset_title	CL_agreed
CL:4033030	diffuse bipolar 3b cell	DB3b	CLM:1001253	ensembl:ENSG00000198691|ensembl:ENSG00000175497	ABCA4|DPP10	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.765019652	https://doi.org/10.5281/zenodo.11165918	scRNA-seq of human retina - bipolar cell subclass	True
CL:4033027	diffuse bipolar 1 cell	DB1	CLM:1001254	ensembl:ENSG00000144227|ensembl:ENSG00000164330	NXPH2|EBF1	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.752547687	https://doi.org/10.5281/zenodo.11165918	scRNA-seq of human retina - bipolar cell subclass	True
CL:4033036	OFFx cell	OFFx	CLM:1001255	ensembl:ENSG00000278254|ensembl:ENSG00000178568	ENSG00000278254|ERBB4	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.722779636	https://doi.org/10.5281/zenodo.11165918	scRNA-seq of human retina - bipolar cell subclass	True
CL:4033096	diffuse bipolar 4b cell	DB4b	CLM:1001256	ensembl:ENSG00000145730|ensembl:ENSG00000196569	PAM|LAMA2	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.489741893	https://doi.org/10.5281/zenodo.11165918	scRNA-seq of human retina - bipolar cell subclass	True
CL:4033032	diffuse bipolar 6 cell	DB6	CLM:1001257	ensembl:ENSG00000275443	ENSG00000275443	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.817444508	https://doi.org/10.5281/zenodo.11165918	scRNA-seq of human retina - bipolar cell subclass	True
CL:4033028	diffuse bipolar 2 cell	DB2	CLM:1001258	ensembl:ENSG00000163377|ensembl:ENSG00000171587	TAFA4|DSCAM	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.886091243	https://doi.org/10.5281/zenodo.11165918	scRNA-seq of human retina - bipolar cell subclass	True
CL:4033019	ON-blue cone bipolar cell	BB	CLM:1001259	ensembl:ENSG00000156395|ensembl:ENSG00000183662	SORCS3|TAFA1	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.709302326	https://doi.org/10.5281/zenodo.11165918	scRNA-seq of human retina - bipolar cell subclass	True
CL:4033029	diffuse bipolar 3a cell	DB3a	CLM:1001260	ensembl:ENSG00000267109	ENSG00000267109	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.848827502	https://doi.org/10.5281/zenodo.11165918	scRNA-seq of human retina - bipolar cell subclass	True
CL:0000752	cone retinal bipolar cell	DB5	CLM:1001261	ensembl:ENSG00000101134|ensembl:ENSG00000184005	DOK5|ST6GALNAC3	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.782434709	https://doi.org/10.5281/zenodo.11165918	scRNA-seq of human retina - bipolar cell subclass	True
CL:4033033	flat midget bipolar cell	FMB	CLM:1001262	ensembl:ENSG00000171951|ensembl:ENSG00000163377	SCG2|TAFA4	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.891115106	https://doi.org/10.5281/zenodo.11165918	scRNA-seq of human retina - bipolar cell subclass	True
CL:4033095	diffuse bipolar 4a cell	DB4a	CLM:1001263	ensembl:ENSG00000265485	LINC01915	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.814956496	https://doi.org/10.5281/zenodo.11165918	scRNA-seq of human retina - bipolar cell subclass	True
CL:4033034	invaginating midget bipolar cell	IMB	CLM:1001264	ensembl:ENSG00000196090|ensembl:ENSG00000079691	PTPRT|CARMIL1	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.80078521	https://doi.org/10.5281/zenodo.11165918	scRNA-seq of human retina - bipolar cell subclass	True
CL:4033035	giant bipolar cell	GB	CLM:1001265	ensembl:ENSG00000152818|ensembl:ENSG00000140538	UTRN|NTRK3	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.725035162	https://doi.org/10.5281/zenodo.11165918	scRNA-seq of human retina - bipolar cell subclass	True
CL:0000751	rod bipolar cell	RB	CLM:1001266	ensembl:ENSG00000227681|ensembl:ENSG00000154102	ENSG00000227681|C16orf74	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.907779697	https://doi.org/10.5281/zenodo.11165918	scRNA-seq of human retina - bipolar cell subclass	True
